GEOID20,ADJ_GEOMS
04013000006,"['04013000150', '04013000216', '04013000423', '04013000590', '04013000077']"
04013000007,"['04012000056', '04025000016', '04012000057', '04013000561', '04013000728']"
04013000008,"['04013000348', '04013000614', '04013000509', '04013000616', '04013000717', '04013000615']"
04013000009,"['04013000014', '04013000474', '04013000731', '04013000137', '04013000388', '04013000209', '04013000146']"
04013000010,"['04013000426', '04013000255', '04013000128']"
04013000011,"['04013000139', '04013000172', '04013000246', '04013000414', '04013000079', '04013000451', '04013000705', '04013000085']"
04013000012,"['04013000392', '04013000545', '04013000268', '04013000585']"
04013000013,"['04013000277', '04013000351', '04013000603', '04013000153', '04013000636']"
04013000014,"['04013000704', '04013000533', '04013000730', '04013000009', '04013000388', '04013000371', '04013000209', '04013000342']"
04013000015,"['04013000333', '04013000500', '04013000273', '04013000089', '04013000145']"
04013000016,"['04013000282', '04013000670', '04013000158', '04013000189', '04013000378']"
04013000017,"['04013000587', '04013000263', '04013000440', '04013000746', '04013000242']"
04013000018,"['04013000438', '04013000278', '04013000173', '04013000422']"
04013000019,"['04013000440', '04013000323', '04013000305', '04013000304']"
04013000020,"['04013000333', '04013000273', '04013000043', '04013000059', '04013000706']"
04013000021,"['04013000329', '04013000484', '04013000652', '04013000696', '04013000114', '04013000522']"
04013000022,"['04021000042', '04013000233', '04013000053', '04013000163']"
04013000023,"['04013000661', '04013000002', '04013000177', '04013000059', '04013000244', '04013000716', '04013000033']"
04013000024,"['04013000672', '04013000252', '04013000468', '04013000155', '04013000379']"
04013000025,"['04013000101', '04013000061', '04013000253', '04013000356', '04013000669', '04013000446', '04013000364']"
04013000026,"['04013000252', '04013000383', '04013000279', '04013000147', '04013000080', '04013000262']"
04013000027,"['04013000408', '04013000338', '04013000501', '04013000502', '04013000667']"
04013000028,"['04013000274', '04013000315', '04013000614', '04013000229', '04013000360']"
04013000029,"['04027000P19', '04013000288', '04013000583', '04013000256', '04013000316', '04013000671', '04013000405']"
04013000030,"['04013000043', '04013000706', '04013000384', '04013000597']"
04013000031,"['04013000159', '04013000624', '04013000512', '04013000535', '04013000201']"
04013000032,"['04013000462', '04013000452', '04013000304', '04013000120', '04013000573', '04013000318', '04013000328']"
04013000033,"['04013000023', '04013000177', '04013000716', '04013000536', '04013000330', '04013000590']"
04013000034,"['04013000341', '04013000445', '04013000340', '04013000286', '04013000398', '04013000212']"
04013000035,"['04013000517', '04013000083', '04013000372']"
04013000036,"['04013000208', '04013000148', '04013000596']"
04013000037,"['04013000465', '04013000574', '04013000188', '04013000267']"
04013000038,"['04013000265', '04013000074', '04013000366', '04013000243', '04013000198', '04013000112']"
04013000039,"['04013000071', '04013000310', '04013000332', '04013000224', '04013000589', '04013000553']"
