GEOID20,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
4019000156,2860,1598,796,271,37,315,0,2394,1480,635,68,35,166,0,3461,1933,845,425,131,181,26,2809,1713,596,261,93,141,20,2809,1713,596,199,90,17,15,12,167
4019000009,4463,3038,830,378,38,170,18,3562,2626,519,249,35,88,0,4239,2737,921,324,122,211,22,3415,2357,645,179,95,164,18,3415,2357,645,129,100,21,2,7,154
4019000141,5432,5159,207,40,13,18,0,5280,5028,164,39,14,12,0,5660,5084,379,45,70,51,11,5586,5078,330,33,59,47,9,5586,5078,330,22,35,13,2,15,91
4019000182,5176,3496,986,408,29,327,25,4094,2932,581,263,11,293,15,5565,3399,1417,356,199,310,16,4401,2890,940,250,136,232,7,4401,2890,940,200,178,36,1,14,142
4019000188,3518,3076,356,25,49,34,0,2829,2553,244,2,30,8,0,3904,2895,688,78,160,118,32,3238,2511,470,53,122,95,20,3238,2511,470,31,53,12,4,6,151
4019000216,2354,1774,377,99,73,100,0,1828,1454,258,101,21,18,0,3013,2312,405,57,74,176,20,2572,2061,297,39,48,117,14,2572,2061,297,21,98,8,10,7,70
4019000144,4289,1842,2202,155,273,54,0,3476,1537,1750,53,73,56,0,3723,1358,2090,180,240,76,11,3089,1247,1597,140,182,57,7,3089,1247,1597,93,26,40,2,6,78
4023000020,2099,48,2053,0,19,0,0,1221,37,1174,0,0,0,0,2031,59,1956,12,40,8,3,1447,37,1399,6,24,4,2,1447,37,1399,2,0,0,1,3,5
4019000215,2267,1459,779,8,12,59,0,1757,1304,447,0,1,4,0,2209,1791,285,31,93,30,12,1866,1557,215,16,63,25,7,1866,1557,215,5,12,15,6,0,56
4019000170,3335,2423,524,77,39,303,0,2681,2126,388,79,14,105,0,3516,2327,618,143,88,375,15,3059,2109,500,104,68,292,14,3059,2109,500,48,230,27,4,12,129
