GEOID20,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_adjtot,Wh_2020_adjtot,His_2020_adjtot,BlC_2020_adjtot,NatC_2020_adjtot,AsnC_2020_adjtot,PacC_2020_adjtot,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
2403301-005,4050,1045,1777,809,133,437,3,3191,949,1238,645,100,362,1,4053,1047,1778,796,111,441,3,3191,949,1238,550,334,3,0,37,80
2403301-006,2531,286,677,1405,53,182,4,1965,247,487,1080,40,150,4,2534,286,677,1403,48,182,4,1965,247,487,1000,139,2,1,21,68
2403318-002,2707,46,546,2084,49,48,1,2078,42,378,1636,30,33,1,2721,46,546,2077,44,47,1,2078,42,378,1554,19,0,0,20,65
2403318-015,168,0,53,120,9,6,0,113,0,27,88,3,3,0,170,0,53,120,7,5,0,113,0,27,79,0,0,0,0,7
2403302-002,2922,257,1512,957,105,230,9,2218,223,1046,790,83,184,8,2926,257,1514,960,103,230,9,2218,223,1046,712,165,7,5,11,49
2403306-029,1005,34,120,825,31,24,0,856,34,80,716,26,18,0,1009,35,120,823,20,23,0,856,34,80,702,18,10,0,0,12
2403306-028,1121,89,166,838,14,23,2,923,83,117,694,5,18,2,1122,89,166,837,14,23,2,923,83,117,673,14,1,1,15,19
2403306-014,614,42,47,498,4,36,1,496,41,35,395,4,31,1,619,42,48,501,4,36,1,496,41,35,381,23,0,0,0,16
2403314-008,3867,321,493,2641,81,441,17,2939,280,323,2001,51,350,12,3869,322,494,2641,81,441,17,2939,280,323,1907,325,1,0,19,84
2403314-012,3172,714,276,1818,53,400,5,2581,648,175,1431,35,344,4,3172,714,276,1818,53,400,5,2581,648,175,1360,326,3,0,7,62
2403317-002,3576,566,1623,1295,125,111,17,2793,498,1124,1086,101,97,14,3582,567,1624,1287,110,111,14,2793,498,1124,972,85,5,2,18,89
2403314-009,4581,863,534,2852,77,345,8,3558,775,349,2176,52,268,5,4585,863,534,2854,77,345,5,3558,775,349,2073,231,5,0,12,113
2403314-013,1615,332,77,1067,17,137,2,1213,279,52,773,15,109,2,1616,332,77,1068,17,136,2,1213,279,52,742,81,3,1,14,41
2403314-017,37,3,11,19,6,1,0,30,3,11,14,6,1,0,37,3,11,19,6,1,0,30,3,11,6,1,0,0,3,6
2403314-001,3437,921,363,1962,53,206,3,2764,824,258,1515,51,165,1,3440,922,364,1955,44,205,3,2764,824,258,1427,145,2,0,21,87
2403314-014,27,3,13,9,0,2,0,15,3,5,5,0,2,0,27,3,13,9,0,2,0,15,3,5,5,0,0,0,0,2
2403312-015,3718,130,540,2911,62,119,1,2984,121,369,2382,47,97,1,3723,130,540,2914,54,120,1,2984,121,369,2308,83,8,0,23,72
2403317-010,9840,222,7228,2235,531,274,16,7307,184,5107,1884,389,231,12,9861,224,7242,2269,394,274,13,7307,184,5107,1704,195,2,0,27,88
2403317-013,1973,55,1487,373,160,68,3,1377,45,971,305,111,57,3,1975,55,1489,383,112,67,3,1377,45,971,277,45,6,3,11,19
2403307-009,5285,310,205,4579,60,234,8,4167,271,144,3605,45,170,4,5291,310,205,4564,59,233,7,4167,271,144,3452,150,4,1,19,126
2401506-001,5430,4849,244,113,144,69,5,4113,3726,153,60,102,50,1,5439,4855,245,119,146,70,5,4113,3726,153,29,31,5,0,6,163
2401506-002,3999,3671,122,55,101,38,6,3137,2920,68,31,79,29,6,4004,3675,123,59,99,39,6,3137,2920,68,22,16,8,3,5,95
2401505-005,6600,5556,305,427,188,116,10,4954,4259,172,295,138,84,9,6623,5575,305,438,194,115,8,4954,4259,172,243,63,12,2,10,193
2401506-003,1203,1111,13,17,33,23,1,923,863,8,13,18,16,1,1203,1111,13,17,33,23,1,923,863,8,8,9,0,1,1,33
2401509-001,2768,2536,71,37,75,28,4,2139,2000,41,19,51,14,4,2769,2537,71,36,75,28,4,2139,2000,41,14,8,16,1,8,51
2401505-002,4393,3465,205,460,129,126,12,3474,2802,131,333,105,86,10,4399,3470,205,459,130,124,12,3474,2802,131,286,59,5,0,14,177
2401505-004,3830,2731,291,609,129,98,11,2774,2091,179,371,82,62,8,3837,2738,291,603,127,100,9,2774,2091,179,293,49,4,1,13,144
2401507-002,5588,4265,217,831,189,108,11,4440,3429,145,658,134,78,8,5606,4278,217,818,188,107,11,4440,3429,145,591,47,23,2,16,187
2401507-004,559,472,29,10,16,27,1,447,389,22,5,11,15,1,562,475,29,10,15,29,0,447,389,22,1,9,1,0,6,19
2401507-003,1466,1187,63,138,51,23,2,1182,973,42,109,36,15,2,1472,1188,63,143,51,22,2,1182,973,42,94,1,12,0,1,59
2401507-001,4125,3648,101,186,113,56,0,3208,2886,60,119,87,35,0,4135,3658,101,189,113,57,0,3208,2886,60,102,26,11,0,6,117
2401504-001,5288,4689,249,123,122,62,1,4244,3822,159,78,86,53,1,5292,4693,249,124,124,64,1,4244,3822,159,47,36,1,0,12,167
2401504-002,3830,2242,326,1032,94,166,4,2930,1821,201,707,69,137,2,3839,2245,326,1033,92,167,4,2930,1821,201,623,111,9,1,14,150
2401503-006,3109,2684,146,140,97,21,3,2408,2112,111,81,75,12,1,3115,2688,147,142,96,20,3,2408,2112,111,61,10,2,0,2,110
